--- Samsung Health Diagnostic Results ---
Found 100463 total points. Showing 221 matching points.

TYPE                 | SOURCE                    | VALUE           | FROM
WORKOUT              | com.sec.android.app.shealth              | 1869 (W)        | 2026-03-11T10:40:31.271
WORKOUT              | com.sec.android.app.shealth              | 811 (W)         | 2026-03-11T11:47:27.993
WORKOUT              | com.sec.android.app.shealth              | 4728 (W)        | 2026-03-11T12:24:24.182
WORKOUT              | com.sec.android.app.shealth              | 10142 (W)       | 2026-03-11T21:05:44.913
WORKOUT              | com.sec.android.app.shealth              | 1984 (W)        | 2026-03-12T15:13:03.195
WORKOUT              | com.sec.android.app.shealth              | 1604 (W)        | 2026-03-13T14:13:42.843
WORKOUT              | com.sec.android.app.shealth              | 2642 (W)        | 2026-03-13T19:04:35.030
WORKOUT              | com.sec.android.app.shealth              | 2649 (W)        | 2026-03-13T19:21:52.494
WORKOUT              | com.sec.android.app.shealth              | 940 (W)         | 2026-03-13T19:47:54.709
WORKOUT              | com.sec.android.app.shealth              | 1625 (W)        | 2026-03-14T08:07:00.172
WORKOUT              | com.sec.android.app.shealth              | 2258 (W)        | 2026-03-14T20:48:46.478
WORKOUT              | com.sec.android.app.shealth              | 1586 (W)        | 2026-03-14T22:21:27.933
WORKOUT              | com.sec.android.app.shealth              | 6473 (W)        | 2026-03-15T09:44:19.696
WORKOUT              | com.sec.android.app.shealth              | 10896 (W)       | 2026-03-15T10:18:49.316
WORKOUT              | com.sec.android.app.shealth              | 3082 (W)        | 2026-03-15T11:02:12.592
WORKOUT              | com.sec.android.app.shealth              | 4692 (W)        | 2026-03-15T12:11:31.943
WORKOUT              | com.sec.android.app.shealth              | 1061 (W)        | 2026-03-16T14:02:03.709
WORKOUT              | com.sec.android.app.shealth              | 647 (W)         | 2026-03-16T15:14:08.503
WORKOUT              | com.sec.android.app.shealth              | 2920 (W)        | 2026-03-16T15:54:21.500
WORKOUT              | com.sec.android.app.shealth              | 1814 (W)        | 2026-03-16T16:34:28.839
WORKOUT              | com.sec.android.app.shealth              | 1735 (W)        | 2026-03-17T09:02:03.807
WORKOUT              | com.sec.android.app.shealth              | 1738 (W)        | 2026-03-17T09:36:07.336
WORKOUT              | com.sec.android.app.shealth              | 2112 (W)        | 2026-03-17T10:45:05.680
WEIGHT               | com.sec.android.app.shealth              | 82.0 KILOGRAM   | 2026-03-13T16:18:34.233
WEIGHT               | com.sec.android.app.shealth              | 81.6 KILOGRAM   | 2026-03-15T23:46:35.634
WEIGHT               | com.sec.android.app.shealth              | 82.1 KILOGRAM   | 2026-03-17T08:32:37.064
HEIGHT               | com.sec.android.app.shealth              | 1.7 METER       | 2026-03-13T16:18:34.233
HEIGHT               | com.sec.android.app.shealth              | 1.7 METER       | 2026-03-15T23:46:35.634
HEIGHT               | com.sec.android.app.shealth              | 1.7 METER       | 2026-03-17T08:32:37.064
BODY_FAT_PERCENTAGE  | com.sec.android.app.shealth              | 31.7 PERCENT    | 2026-03-13T16:18:34.233
BODY_FAT_PERCENTAGE  | com.sec.android.app.shealth              | 30.4 PERCENT    | 2026-03-15T23:46:35.634
BODY_FAT_PERCENTAGE  | com.sec.android.app.shealth              | 29.7 PERCENT    | 2026-03-17T08:32:37.064
SLEEP_AWAKE          | com.sec.android.app.shealth              | 1.0 MINUTE      | 2026-03-15T19:28:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 1.0 MINUTE      | 2026-03-15T19:35:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 2.0 MINUTE      | 2026-03-15T19:45:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 2.0 MINUTE      | 2026-03-15T19:53:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 2.0 MINUTE      | 2026-03-15T21:11:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 4.0 MINUTE      | 2026-03-15T21:25:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 1.0 MINUTE      | 2026-03-16T03:56:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 1.0 MINUTE      | 2026-03-16T04:42:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 1.0 MINUTE      | 2026-03-16T05:12:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 1.0 MINUTE      | 2026-03-16T05:16:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 1.0 MINUTE      | 2026-03-16T05:28:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 12.0 MINUTE     | 2026-03-16T07:08:00.000
SLEEP_AWAKE          | com.sec.android.app.shealth              | 3.0 MINUTE      | 2026-03-16T07:27:00.000
SLEEP_DEEP           | com.sec.android.app.shealth              | 14.0 MINUTE     | 2026-03-15T20:21:00.000
SLEEP_DEEP           | com.sec.android.app.shealth              | 36.0 MINUTE     | 2026-03-16T04:06:00.000
SLEEP_DEEP           | com.sec.android.app.shealth              | 6.0 MINUTE      | 2026-03-16T06:02:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 12.0 MINUTE     | 2026-03-15T19:16:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 6.0 MINUTE      | 2026-03-15T19:29:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 9.0 MINUTE      | 2026-03-15T19:36:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 6.0 MINUTE      | 2026-03-15T19:47:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 26.0 MINUTE     | 2026-03-15T19:55:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 15.0 MINUTE     | 2026-03-15T20:35:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 12.0 MINUTE     | 2026-03-16T03:44:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 9.0 MINUTE      | 2026-03-16T03:57:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 4.0 MINUTE      | 2026-03-16T04:43:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 4.0 MINUTE      | 2026-03-16T05:08:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 3.0 MINUTE      | 2026-03-16T05:13:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 11.0 MINUTE     | 2026-03-16T05:17:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 33.0 MINUTE     | 2026-03-16T05:29:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 9.0 MINUTE      | 2026-03-16T06:08:00.000
SLEEP_LIGHT          | com.sec.android.app.shealth              | 7.0 MINUTE      | 2026-03-16T07:20:00.000
SLEEP_REM            | com.sec.android.app.shealth              | 21.0 MINUTE     | 2026-03-15T20:50:00.000
SLEEP_REM            | com.sec.android.app.shealth              | 12.0 MINUTE     | 2026-03-15T21:13:00.000
SLEEP_REM            | com.sec.android.app.shealth              | 21.0 MINUTE     | 2026-03-16T04:47:00.000
SLEEP_REM            | com.sec.android.app.shealth              | 51.0 MINUTE     | 2026-03-16T06:17:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 280.0 MINUTE    | 2026-02-28T02:20:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 390.0 MINUTE    | 2026-02-28T21:00:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 370.0 MINUTE    | 2026-03-02T01:10:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 380.0 MINUTE    | 2026-03-04T01:30:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 360.0 MINUTE    | 2026-03-05T00:10:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 530.0 MINUTE    | 2026-03-08T23:30:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 380.0 MINUTE    | 2026-03-10T01:40:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 390.0 MINUTE    | 2026-03-11T02:00:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 460.0 MINUTE    | 2026-03-12T00:20:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 380.0 MINUTE    | 2026-03-12T23:30:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 440.0 MINUTE    | 2026-03-13T23:40:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 450.0 MINUTE    | 2026-03-15T00:20:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 133.0 MINUTE    | 2026-03-15T19:16:00.000
SLEEP_SESSION        | com.sec.android.app.shealth              | 226.0 MINUTE    | 2026-03-16T03:44:00.000

--- Summary (Filtered) ---
Total Points: 221
Cumulative Steps in these points: 338472.0
Steps recorded inside Workouts: 50
